Program Version:,EnergyPlus, Version 9.6.0-f420c06a69, YMD=2022.04.05 12:35
Tabular Output Report in Format: ,Comma

Building:,US+SF+CZ5B+gasfurnace+slab+IECC_2021
Environment:,ANNUAL ** Denver Centennial  Golden   Nr CO USA TMY3 WMO#=724666

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over        24.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,149.95,0.45,0.68
,Net Site Energy,149.95,0.45,0.68
,Total Source Energy,222.74,0.67,1.01
,Net Source Energy,222.74,0.67,1.01


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,331.23
,Net Conditioned Building Area,220.82
,Unconditioned Building Area,110.41


End Uses

,,Electricity [kWh],Natural Gas [kWh],Gasoline [kWh],Diesel [kWh],Coal [kWh],Fuel Oil No 1 [kWh],Fuel Oil No 2 [kWh],Propane [kWh],Other Fuel 1 [kWh],Other Fuel 2 [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,0.00,100.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,2.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,19.32,9.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,6.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,10.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,28.90,121.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25
Note: Natural gas appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Gasoline [kWh],Diesel [kWh],Coal [kWh],Fuel Oil No 1 [kWh],Fuel Oil No 2 [kWh],Propane [kWh],Other Fuel 1 [kWh],Other Fuel 2 [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
,1,LIVING_UNIT1,0.0,0.00,0.00,0.00,6.07,4.55,2.60,1,1,1,0.00,12.13,0.00,9.10,1.01E-002,5.19,3.89,482.75,TARP,DOE-2,220.82,220.10,183.37,33.01,11,9,4,Yes
,2,ATTIC_UNIT1,0.0,0.00,0.00,0.00,6.07,4.55,5.59,1,1,1,0.00,12.13,0.00,9.10,5.19,6.70,0.75,83.17,TARP,DOE-2,110.41,13.71,13.71,0.00,5,0,0,Yes


Zone Internal Gains Nominal

,,Zone Name,Floor Area {m2},# Occupants,Area per Occupant {m2/person},Occupant per Area {person/m2},Interior Lighting {W/m2},Electric Load {W/m2},Gas Load {W/m2},Other Load {W/m2},Hot Water Eq {W/m2},Steam Equipment {W/m2},Sum Loads per Area {W/m2},Outdoor Controlled Baseboard Heat
,1,LIVING_UNIT1,220.82,3.0,73.606,1.359E-002,1.531,5.512,4.518,0.000,0.000,0.000,11.561,No
,2,ATTIC_UNIT1,110.41,0.0,N/A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No


People Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Number of People {},People/Floor Area {person/m2},Floor Area per person {m2/person},Fraction Radiant,Fraction Convected,Sensible Fraction Calculation,Activity level,ASHRAE 55 Warnings,Carbon Dioxide Generation Rate,Nominal Minimum Number of People,Nominal Maximum Number of People
,1,PEOPLE_UNIT1,OCCUPANCY,LIVING_UNIT1,220.82,3.0,3.0,1.359E-002,73.606,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,1,3


Lights Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Lighting Level {W},Lights/Floor Area {W/m2},Lights per person {W/person},Fraction Return Air,Fraction Radiant,Fraction Short Wave,Fraction Convected,Fraction Replaceable,End-Use Category,Nominal Minimum Lighting Level {W},Nominal Maximum Lighting Level {W}
,1,LIVING HARDWIRED LIGHTING1,INTERIORLIGHTINGHE,LIVING_UNIT1,220.82,3.0,232.336,1.052,77.445,0.000,0.600,0.200,0.200,0.000,General,15.973,232.336
,2,LIVING PLUG-IN LIGHTING1,INTERIORLIGHTINGHE,LIVING_UNIT1,220.82,3.0,105.654,0.478,35.218,0.000,0.600,0.200,0.200,0.000,General,7.264,105.654


ElectricEquipment Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Equipment Level {W},Equipment/Floor Area {W/m2},Equipment per person {W/person},Fraction Latent,Fraction Radiant,Fraction Lost,Fraction Convected,End-Use SubCategory,Nominal Minimum Equipment Level {W},Nominal Maximum Equipment Level {W}
,1,DISHWASHER1,DISHWASHER,LIVING_UNIT1,220.82,3.0,65.699,0.298,21.900,0.150,0.600,0.250,0.000,dishwasher,0.000,58.932
,2,REFRIGERATOR1,REFRIGERATOR,LIVING_UNIT1,220.82,3.0,91.058,0.412,30.353,0.000,1.000,0.000,0.000,refrigerator,66.598,91.058
,3,CLOTHESWASHER1,CLOTHESWASHER,LIVING_UNIT1,220.82,3.0,28.478,0.129,9.493,0.000,0.800,0.200,0.000,clotheswasher,0.000,25.545
,4,GAS_DRYER1,CLOTHESDRYER,LIVING_UNIT1,220.82,3.0,19.418,8.794E-002,6.473,0.000,1.000,0.000,0.000,gas_dryer,0.000,19.418
,5,GAS_RANGE1,COOKINGRANGE,LIVING_UNIT1,220.82,3.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,gas_range,0.000,0.000
,6,TELEVISION1,INTERIORLIGHTING,LIVING_UNIT1,220.82,3.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,7,GAS_MELS1,MISCPLUGLOAD,LIVING_UNIT1,220.82,3.0,507.150,2.297,169.050,6.000E-002,0.690,0.250,0.000,gas_mels,262.208,507.150
,8,IECC_ADJ1,MISCPLUGLOAD,LIVING_UNIT1,220.82,3.0,505.400,2.289,168.467,6.244E-002,0.412,0.251,0.275,IECC_adj,261.303,505.400


GasEquipment Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Equipment Level {W},Equipment/Floor Area {W/m2},Equipment per person {W/person},Fraction Latent,Fraction Radiant,Fraction Lost,Fraction Convected,End-Use SubCategory,Nominal Minimum Equipment Level {W},Nominal Maximum Equipment Level {W}
,1,GAS_DRYER1,CLOTHESDRYER,LIVING_UNIT1,220.82,3.0,395.596,1.792,131.865,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,395.596
,2,GAS_RANGE1,COOKINGRANGE,LIVING_UNIT1,220.82,3.0,540.941,2.450,180.314,6.000E-002,0.690,0.250,0.000,gas_range,12.737,540.941
,3,GAS_MELS1,MISCPLUGLOAD,LIVING_UNIT1,220.82,3.0,61.125,0.277,20.375,6.000E-002,0.690,0.250,0.000,gas_mels,31.603,61.125


Construction CTF

,,Construction Name,Index,#Layers,#CTFs,Time Step {hours},ThermalConductance {w/m2-K},OuterThermalAbsorptance,InnerThermalAbsorptance,OuterSolarAbsorptance,InnerSolarAbsorptance,Roughness
,1,EXTERIOR WALL,1,5,9,0.250,0.2829,0.900,0.900,0.700,0.700,MediumSmooth
,2,INTERIORFURNISHINGS,2,1,7,0.250,0.8000,0.900,0.900,0.700,0.700,MediumSmooth
,3,INTERIOR FLOOR,5,2,3,0.250,1.702,0.900,0.900,0.700,0.700,Rough
,4,INTERIOR CEILING,6,2,9,0.250,0.1373,0.900,0.900,0.700,0.700,Rough
,5,ATTIC FLOOR,7,2,9,0.250,0.1373,0.900,0.900,0.700,0.700,MediumSmooth
,6,EXTERIOR ROOF,11,2,3,0.250,5.358,0.900,0.900,0.750,0.700,MediumRough
,7,EXTERIOR DOOR,14,1,5,0.250,1.704,0.900,0.900,0.700,0.700,Smooth
,8,GABLE_END,16,5,5,0.250,2.431,0.900,0.900,0.700,0.700,MediumSmooth


Material CTF Summary

,,Material Name,Thickness {m},Conductivity {w/m-K},Density {kg/m3},Specific Heat {J/kg-K},ThermalResistance {m2-K/w}
,1,SYN_STUCCO,0.0030,0.086,400.000,878.640,0.3524E-01
,2,SHEATHING_CONSOL_LAYER,0.0311,0.035,20.100,1465.415,0.8807
,3,OSB_7/16IN,0.0111,0.116,544.627,1213.360,0.9555E-01
,4,WALL_CONSOL_LAYER,0.1397,0.057,120.801,1036.258,2.444
,5,DRYWALL_1/2IN,0.0127,0.160,800.923,1087.840,0.7933E-01
,6,STD WOOD 6INCH,0.1500,0.120,540.000,1210.000,1.250
,7,PLYWOOD_3/4IN,0.0191,0.115,544.680,674.540,0.1650
,8,CARPET_N_PAD,0.0254,0.060,32.037,836.800,0.4224
,9,CEIL_CONSOL_LAYER,0.4445,0.062,41.929,776.251,7.202
,10,DRYWALL_1/2IN,0.0127,0.160,800.923,1087.840,0.7933E-01
,11,DRYWALL_1/2IN,0.0127,0.160,800.923,1087.840,0.7933E-01
,12,CEIL_CONSOL_LAYER,0.4445,0.062,41.929,776.251,7.202
,13,ASPHALT_SHINGLE,0.0063,0.082,1121.292,1255.200,0.7745E-01
,14,OSB_1/2IN,0.0127,0.116,544.627,1213.360,0.1092
,15,DOOR_CONST,0.0423,0.072,512.640,767.580,0.5870
,16,CEMENT_STUCCO,0.0191,0.721,1865.580,878.640,0.2642E-01
,17,BLDG_PAPER_FELT,0.0000,0.000,0.000,0.000,0.1057E-01
,18,OSB_5/8IN,0.0159,0.116,544.627,1213.360,0.1365
,19,DRYWALL_1/2IN,0.0127,0.160,800.923,1087.840,0.7933E-01


Material:Air

,,Material Name,ThermalResistance {m2-K/w}
,1,AIR_4_IN_VERT,0.1585
,2,3/4IN_AIR_SPACE,8.5130E-002
,3,3/4IN_REFLECTIVE_AIR_SPACE,0.2466
,4,AIR_4_IN_VERT,0.1585


CTF

,,Time,Outside,Cross,Inside,Flux (except final one)
,1,9,-0.22549215E-07,0.15068908E-13,-0.36636575E-07,0.15325053E-12
,2,8,0.59171433E-04,0.27732189E-10,0.87245177E-04,-0.17245386E-07
,3,7,-0.28958691E-02,0.32836698E-07,-0.76712678E-02,0.40343077E-04
,4,6,0.54592497E-01,0.38495894E-05,0.20687904,-0.19000017E-02
,5,5,-0.50723082,0.86755853E-04,-2.3929881,0.33748112E-01
,6,4,2.5226851,0.50110213E-03,13.368157,-0.28468677
,7,3,-6.9407176,0.79858665E-03,-38.323334,1.2085827
,8,2,10.504051,0.31741499E-03,57.504377,-2.5817303
,9,1,-8.1362281,0.20731142E-04,-42.892930,2.6198363
,10,0,2.5074132,0.34647197E-07,12.539151,
,11,7,-0.19879948E-01,0.18371110E-08,-0.19879948E-01,0.25920384E-02
,12,6,0.37833182,0.93111392E-06,0.37833182,-0.50805208E-01
,13,5,-2.8822885,0.33090332E-04,-2.8822885,0.40100636
,14,4,11.391948,0.23980383E-03,11.391948,-1.6521297
,15,3,-25.286828,0.46344169E-03,-25.286828,3.8446603
,16,2,31.657742,0.23933549E-03,31.657742,-5.0707043
,17,1,-20.807361,0.25331892E-04,-20.807361,3.5241279
,18,0,5.5693388,0.18852057E-06,5.5693388,
,19,3,-0.21260425E-07,0.49822955E-08,-0.13883007E-07,0.11425730E-18
,20,2,0.11625382,0.10663279E-01,0.24913590E-01,-0.65967067E-07
,21,1,-5.6903370,0.76350664,-0.70509535,0.99684103E-01
,22,0,7.1067848,0.75853168,2.2128834,
,23,9,0.94289495E-18,-0.10172498E-14,-0.17911341E-10,0.81530589E-18
,24,8,0.38378845E-10,0.30676263E-14,0.18417648E-02,-0.33631976E-10
,25,7,-0.10199239E-02,0.11622689E-08,-0.12573539,0.89377533E-03
,26,6,0.24974826E-01,0.39399690E-06,1.7739088,-0.22311697E-01
,27,5,-0.23339123,0.12698862E-04,-11.178015,0.21420442
,28,4,1.0960123,0.88265231E-04,37.996902,-1.0412944
,29,3,-2.8187718,0.16480313E-03,-74.225957,2.7934287
,30,2,4.0007614,0.80846041E-04,83.168833,-4.1650798
,31,1,-2.9246709,0.77161481E-05,-49.586814,3.2175760
,32,0,0.85646011,0.41596276E-07,12.175391,
,33,9,-0.17911341E-10,-0.10172498E-14,0.94289495E-18,0.81530589E-18
,34,8,0.18417648E-02,0.30676263E-14,0.38378845E-10,-0.33631976E-10
,35,7,-0.12573539,0.11622689E-08,-0.10199239E-02,0.89377533E-03
,36,6,1.7739088,0.39399690E-06,0.24974826E-01,-0.22311697E-01
,37,5,-11.178015,0.12698862E-04,-0.23339123,0.21420442
,38,4,37.996902,0.88265231E-04,1.0960123,-1.0412944
,39,3,-74.225957,0.16480313E-03,-2.8187718,2.7934287
,40,2,83.168833,0.80846041E-04,4.0007614,-4.1650798
,41,1,-49.586814,0.77161481E-05,-2.9246709,3.2175760
,42,0,12.175391,0.41596276E-07,0.85646011,
,43,3,-0.29555724E-05,0.78471552E-06,-0.19777018E-05,0.68642314E-15
,44,2,0.15293305,0.50483289E-01,0.12822325,-0.22743170E-05
,45,1,-7.5337739,2.6090217,-5.6395048,0.62817353E-01
,46,0,12.401978,2.3616280,10.532417,
,47,5,-0.34649653E-09,0.18643338E-09,-0.34649653E-09,0.32321875E-12
,48,4,0.14881557E-04,0.76261782E-05,0.14881557E-04,-0.46873818E-07
,49,3,-0.16584958E-01,0.59200141E-02,-0.16584958E-01,0.22126914E-03
,50,2,0.93252021,0.20573514,0.93252021,-0.36145924E-01
,51,1,-5.5712332,0.56060628,-5.5712332,0.52233792
,52,0,5.5302193,0.10266710,5.5302193,
,53,5,-0.52254053E-08,0.11833494E-09,-0.19746461E-08,0.20376637E-17
,54,4,0.13198703E-02,0.28796027E-04,0.41856668E-03,-0.11610988E-08
,55,3,-0.25208402,0.19322245E-01,-0.85493636E-01,0.23906158E-03
,56,2,7.8533107,0.48110426,2.9016275,-0.20267960E-01
,57,1,-41.398393,0.98160798,-13.501343,0.36527180
,58,0,35.387695,0.10978549,12.276639,


WindowConstruction

,,Construction Name,Index,#Layers,Roughness,Conductance {W/m2-K},SHGC,Solar Transmittance at Normal Incidence,Visible Transmittance at Normal Incidence
,1,EXTERIOR WINDOW,12,1,VerySmooth,1.704,0.335,0.248,0.883
,2,INTERIOR WINDOW,13,1,VerySmooth,1.704,0.335,0.248,0.883
,3,WINDOW_W_BLINDS,18,2,VerySmooth,1.704,0.309,4.646E-002,0.133
,4,TDD DOME,22,1,VerySmooth,6.082,0.929,0.920,0.920
,5,TDD DIFFUSER,23,1,VerySmooth,6.115,0.906,0.900,0.900


WindowMaterial:Glazing

,,Material Name,Optical Data Type,Spectral Data Set Name,Thickness {m},Solar Transmittance,Front Solar Reflectance,Back Solar Reflectance,Visible Transmittance,Front Visible Reflectance,Back Visible Reflectance,Infrared Transmittance,Front Thermal Emissivity,Back Thermal Emissivity,Conductivity {W/m-K},Dirt Factor,Solar Diffusing
,1,GLASS,SpectralAverage,,4.18405E-002,0.24698,0.55113,0.55113,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,0.10138,1.00000,No
,2,GLASS,SpectralAverage,,4.18405E-002,0.24698,0.55113,0.55113,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,0.10138,1.00000,No
,3,GLASS,SpectralAverage,,4.18405E-002,0.24698,0.55113,0.55113,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,0.10138,1.00000,No
,4,CLEAR ACRYLIC PLASTIC,SpectralAverage,,3.00000E-003,0.92000,5.00000E-002,5.00000E-002,0.92000,5.00000E-002,5.00000E-002,0.00000,0.90000,0.90000,0.90000,1.00000,No
,5,DIFFUSING ACRYLIC PLASTIC,SpectralAverage,,2.20000E-003,0.90000,8.00000E-002,8.00000E-002,0.90000,8.00000E-002,8.00000E-002,0.00000,0.90000,0.90000,0.90000,1.00000,No


WindowMaterial:Blind

,,Material Name,Slat Width {m},Slat Separation {m},Slat Thickness {m},Slat Angle {deg},Slat Beam Solar Transmittance,Slat Beam Solar Front Reflectance,Blind To Glass Distance {m}
,1,INT_BLIND,2.5000E-002,1.8750E-002,1.0000E-003,45.000,0.000,0.500,5.000E-002


Shadowing/Sun Position Calculations Annual Simulations

,,Shading Calculation Method,Shading Calculation Update Frequency Method,Shading Calculation Update Frequency {days},Maximum Figures in Shadow Overlap Calculations {},Polygon Clipping Algorithm,Pixel Counting Resolution,Sky Diffuse Modeling Algorithm,Output External Shading Calculation Results,Disable Self-Shading Within Shading Zone Groups,Disable Self-Shading From Shading Zone Groups to Other Zones
,1,PolygonClipping,Periodic,20,15000,SutherlandHodgman,512,SimpleSkyDiffuseModeling,No,No,No


Water Heater Information

,,Type,Name,Volume {m3},Maximum Capacity {W},Standard Rated Recovery Efficiency,Standard Rated Energy Factor
,1,WaterHeater:Mixed,WATER HEATER_UNIT1,3.7854E-003,11137.8,62.544,0.9099


ZoneVentilation Airflow Stats Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Design Volume Flow Rate {m3/s},Volume Flow Rate/Floor Area {m3/s-m2},Volume Flow Rate/person Area {m3/s-person},ACH - Air Changes per Hour,Fan Type {Exhaust;Intake;Natural},Fan Pressure Rise {Pa},Fan Efficiency {},Equation A - Constant Term Coefficient {},Equation B - Temperature Term Coefficient {1/C},Equation C - Velocity Term Coefficient {s/m},Equation D - Velocity Squared Term Coefficient {s2/m2},Minimum Indoor Temperature{C}/Schedule,Maximum Indoor Temperature{C}/Schedule,Delta Temperature{C}/Schedule,Minimum Outdoor Temperature{C}/Schedule,Maximum Outdoor Temperature{C}/Schedule,Maximum WindSpeed{m/s}
,1,VENTILATION_UNIT1,ALWAYS_AVAIL,LIVING_UNIT1,220.82,3.0,0.000,0.000,0.000,0.000,Exhaust,0.000,0.6,1.000,0.000,0.000,0.000,-100.00,100.00,-100.00,-100.00,100.00,40.00


AirFlow Model

,,Simple
,1,Simple


RoomAir Model

,,Zone Name,Mixing/Mundt/UCSDDV/UCSDCV/UCSDUFI/UCSDUFE/User Defined
,1,LIVING_UNIT1,Mixing/Well-Stirred
,2,ATTIC_UNIT1,Mixing/Well-Stirred


AirflowNetwork Model:Control

,,No Multizone or Distribution/Multizone with Distribution/Multizone without Distribution/Multizone with Distribution only during Fan Operation
,1,MultizoneWithDistribution


AirflowNetwork Model:Equivalent Rectangle Surface

,,Name,Equivalent Height {m},Equivalent Width {m} AirflowNetwork Model:Equivalent Rectangle
,1,ROOF_RIGHT_UNIT1,1.51,4.55
,2,ROOF_LEFT_UNIT1,1.51,4.55


AirflowNetwork Model:Wind Direction

,,Wind Direction #1 to n (degree)
,1,0.0


AirflowNetwork Model:Wind Pressure Coefficients

,,Name,Wind Pressure Coefficients #1 to n (dimensionless)
,1,!WPCTABLE1,0.60
,2,!WPCTABLE2,-0.36
,3,!WPCTABLE3,-0.51
,4,!WPCTABLE4,-0.36
,5,!WPCTABLE5,-0.73


Zone Volume Capacitance Multiplier

,,Sensible Heat Capacity Multiplier,Moisture Capacity Multiplier,Carbon Dioxide Capacity Multiplier,Generic Contaminant Capacity Multiplier
,1,1.000,1.000,1.000,1.000


Load Timesteps in Zone Design Calculation Averaging Window

,,Value
,1,4


Heating Sizing Factor Information

,,Sizing Factor ID,Value
,1,Global,1.0000


Cooling Sizing Factor Information

,,Sizing Factor ID,Value
,1,Global,1.0000


Zone Sizing Information

,,Zone Name,Load Type,Calc Des Load {W},User Des Load {W},Calc Des Air Flow Rate {m3/s},User Des Air Flow Rate {m3/s},Design Day Name,Date/Time of Peak,Temperature at Peak {C},Humidity Ratio at Peak {kgWater/kgDryAir},Floor Area {m2},# Occupants,Calc Outdoor Air Flow Rate {m3/s},Calc DOAS Heat Addition Rate {W}
,1,LIVING_UNIT1,Cooling,5048.78571,5048.78571,0.43153,0.43153,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 17:45:00,30.71800,5.47038E-003,220.81784,3.00000,2.83168E-002,0.00000
,2,LIVING_UNIT1,Heating,5523.60279,5523.60279,0.20202,0.20202,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 14:15:00,-17.90000,9.55238E-004,220.81784,3.00000,2.83168E-002,0.00000


System Sizing Information

,,System Name,Load Type,Peak Load Kind,User Design Capacity,Calc Des Air Flow Rate [m3/s],User Des Air Flow Rate [m3/s],Design Day Name,Date/Time of Peak
,1,CENTRAL SYSTEM_UNIT1,Cooling,Sensible,5162.78,0.43153,0.43153,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,2,CENTRAL SYSTEM_UNIT1,Heating,Sensible,6544.79,0.20202,0.20202,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 14:15:00


Component Sizing Information

,,Component Type,Component Name,Input Field Description,Value
,1,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1,User-Specified Supply Air Flow Rate [m3/s],0.02832
,2,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1,User-Specified Exhaust Air Flow Rate [m3/s],0.02832
,3,Fan:OnOff,OASUPPLYFAN_UNIT1,User-Specified Maximum Flow Rate [m3/s],0.02832
,4,Fan:OnOff,OAEXHAUSTFAN_UNIT1,User-Specified Maximum Flow Rate [m3/s],0.02832
,5,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT1,User-Specified Nominal Supply Air Flow Rate [m3/s],0.02832
,6,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT1,Design Size Maximum Air Flow Rate [m3/s],0.43153
,7,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Sum of Air Terminal Maximum Heating Flow Rates [m3/s],0.43153
,8,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Sum of Air Terminal Minimum Heating Flow Rates [m3/s],0.43153
,9,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Sum of Air Terminal Maximum Flow Rates [m3/s],0.43153
,10,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Adjusted Heating Design Air Flow Rate [m3/s],0.43153
,11,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Adjusted Cooling Design Air Flow Rate [m3/s],0.43153
,12,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Adjusted Main Design Air Flow Rate [m3/s],0.43153
,13,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,User Heating Air Flow Ratio [],1.00000
,14,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Calculated Heating Air Flow Ratio [],1.00000
,15,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Design Supply Air Flow Rate [m3/s],0.43153
,16,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,Design Size Rated Air Flow Rate [m3/s],0.43153
,17,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,Design Size Gross Rated Total Cooling Capacity [W],7143.30942
,18,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,Design Size Gross Rated Sensible Heat Ratio,0.80066
,19,AirLoopHVAC:UnitaryHeatCool,ACANDF_UNIT1,Supply Air Flow Rate [m3/s],0.43153
,20,AirLoopHVAC:UnitaryHeatCool,ACANDF_UNIT1,Supply Air Flow Rate During Heating Operation [m3/s],0.43153
,21,AirLoopHVAC:UnitaryHeatCool,ACANDF_UNIT1,Supply Air Flow Rate During Cooling Operation [m3/s],0.43153
,22,AirLoopHVAC:UnitaryHeatCool,ACANDF_UNIT1,Nominal Heating Capacity [W],6544.78561
,23,AirLoopHVAC:UnitaryHeatCool,ACANDF_UNIT1,Nominal Cooling Capacity [W],7143.30942
,24,AirLoopHVAC:UnitaryHeatCool,ACANDF_UNIT1,Fraction of Supply Air Flow That Goes Through the Controlling Zone,1.00000
,25,Fan:OnOff,SUPPLY FAN_UNIT1,Design Size Maximum Flow Rate [m3/s],0.43153
,26,Coil:Heating:Fuel,MAIN FUEL HEATING COIL_UNIT1,Design Size Nominal Capacity [W],6544.78561
,27,PlantLoop,DHW LOOP_UNIT1,Maximum Loop Flow Rate [m3/s],0.00049
,28,PlantLoop,DHW LOOP_UNIT1,Plant Loop Volume [m3],0.05926
,29,Pump:VariableSpeed,MAINS PRESSURE_UNIT1,Design Flow Rate [m3/s],0.00049
,30,WaterHeater:Mixed,WATER HEATER_UNIT1,Maximum Heater Capacity [W],11137.80000
,31,WaterHeater:Mixed,WATER HEATER_UNIT1,Use Side Design Flow Rate [m3/s],0.00049


DX Cooling Coil Standard Rating Information

,,Component Type,Component Name,Standard Rating (Net) Cooling Capacity {W},Standard Rated Net COP {W/W},EER {Btu/W-h},SEER User {Btu/W-h},SEER Standard {Btu/W-h},IEER {Btu/W-h}
,1,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,6808.6,3.19,10.89,11.54,11.09,11.07


Environment

,,Environment Name,Environment Type,Start Date,End Date,Start DayOfWeek,Duration {#days},Source:Start DayOfWeek,Use Daylight Saving,Use Holidays,Apply Weekend Holiday Rule,Use Rain Values,Use Snow Values,Sky Temperature Model
