Program Version:,EnergyPlus, Version 9.6.0-f420c06a69, YMD=2022.04.08 17:05
Tabular Output Report in Format: ,Comma

Building:,US+SF+CZ5B+hp+crawlspace+IECC_2021
Environment:,MONTHLY ** Denver Centennial  Golden   Nr CO USA TMY3 WMO#=724666

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over        24.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,0.32,0.73,1.45
,Net Site Energy,0.32,0.73,1.45
,Total Source Energy,1.02,2.30,4.60
,Net Source Energy,1.02,2.30,4.60


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,441.64
,Net Conditioned Building Area,220.82
,Unconditioned Building Area,220.82


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,Heating,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]

,,Value {CTF - ConductionTransferFunction,Inside Surface Max Temperature Limit{C},Surface Convection Coefficient Lower Limit {W/m2-K},Surface Convection Coefficient Upper Limit {W/m2-K}
,,EMPD - MoisturePenetrationDepthConductionTransferFunction,,,
,,CondFD - ConductionFiniteDifference,,,
,,HAMT - CombinedHeatAndMoistureFiniteElement} - Description,,,
,1,CTF - ConductionTransferFunction,200,0.10,1000.0


Shading Summary

,,Number of Fixed Detached Shades,Number of Building Detached Shades,Number of Attached Shades
,1,0,0,4


Zone Summary

,,Number of Zones,Number of Zone Surfaces,Number of SubSurfaces
,1,3,36,9


Zone Information

,,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
,1,LIVING_UNIT1,0.0,0.00,0.00,0.00,6.07,4.55,2.74,1,1,1,0.00,12.13,0.00,9.10,0.15,5.34,3.89,482.75,TARP,DOE-2,220.82,220.10,183.37,33.01,11,9,4,Yes
,2,ATTIC_UNIT1,0.0,0.00,0.00,0.00,6.07,4.55,5.69,1,1,1,0.00,12.13,0.00,9.10,5.34,6.70,0.68,75.31,TARP,DOE-2,110.41,12.41,12.41,0.00,5,0,0,Yes
,3,CRAWLSPACE_UNIT1,0.0,0.00,0.00,0.00,6.07,4.55,-0.15,1,1,1,0.00,12.13,0.00,9.10,-0.46,0.15,0.61,67.32,TARP,DOE-2,110.41,6.47,6.47,0.00,10,0,0,Yes


Zone Internal Gains Nominal

,,Zone Name,Floor Area {m2},# Occupants,Area per Occupant {m2/person},Occupant per Area {person/m2},Interior Lighting {W/m2},Electric Load {W/m2},Gas Load {W/m2},Other Load {W/m2},Hot Water Eq {W/m2},Steam Equipment {W/m2},Sum Loads per Area {W/m2},Outdoor Controlled Baseboard Heat
,1,LIVING_UNIT1,220.82,3.0,73.606,1.359E-002,1.531,7.041,0.000,0.000,0.000,0.000,8.572,No
,2,ATTIC_UNIT1,110.41,0.0,N/A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No
,3,CRAWLSPACE_UNIT1,110.41,0.0,N/A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No


People Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Number of People {},People/Floor Area {person/m2},Floor Area per person {m2/person},Fraction Radiant,Fraction Convected,Sensible Fraction Calculation,Activity level,ASHRAE 55 Warnings,Carbon Dioxide Generation Rate,Nominal Minimum Number of People,Nominal Maximum Number of People
,1,PEOPLE_UNIT1,OCCUPANCY,LIVING_UNIT1,220.82,3.0,3.0,1.359E-002,73.606,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,1,3


Lights Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Lighting Level {W},Lights/Floor Area {W/m2},Lights per person {W/person},Fraction Return Air,Fraction Radiant,Fraction Short Wave,Fraction Convected,Fraction Replaceable,End-Use Category,Nominal Minimum Lighting Level {W},Nominal Maximum Lighting Level {W}
,1,LIVING HARDWIRED LIGHTING1,INTERIORLIGHTINGHE,LIVING_UNIT1,220.82,3.0,232.336,1.052,77.445,0.000,0.600,0.200,0.200,0.000,General,15.973,232.336
,2,LIVING PLUG-IN LIGHTING1,INTERIORLIGHTINGHE,LIVING_UNIT1,220.82,3.0,105.654,0.478,35.218,0.000,0.600,0.200,0.200,0.000,General,7.264,105.654


ElectricEquipment Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Equipment Level {W},Equipment/Floor Area {W/m2},Equipment per person {W/person},Fraction Latent,Fraction Radiant,Fraction Lost,Fraction Convected,End-Use SubCategory,Nominal Minimum Equipment Level {W},Nominal Maximum Equipment Level {W}
,1,DISHWASHER1,DISHWASHER,LIVING_UNIT1,220.82,3.0,65.699,0.298,21.900,0.150,0.600,0.250,0.000,dishwasher,0.000,58.932
,2,REFRIGERATOR1,REFRIGERATOR,LIVING_UNIT1,220.82,3.0,91.058,0.412,30.353,0.000,1.000,0.000,0.000,refrigerator,66.598,91.058
,3,CLOTHESWASHER1,CLOTHESWASHER,LIVING_UNIT1,220.82,3.0,28.478,0.129,9.493,0.000,0.800,0.200,0.000,clotheswasher,0.000,25.545
,4,ELECTRIC_DRYER1,CLOTHESDRYER,LIVING_UNIT1,220.82,3.0,213.065,0.965,71.022,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,213.065
,5,ELECTRIC_RANGE1,COOKINGRANGE,LIVING_UNIT1,220.82,3.0,248.154,1.124,82.718,0.300,0.400,0.300,0.000,electric_range,5.843,248.154
,6,TELEVISION1,INTERIORLIGHTING,LIVING_UNIT1,220.82,3.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,7,ELECTRIC_MELS1,MISCPLUGLOAD,LIVING_UNIT1,220.82,3.0,567.464,2.570,189.155,6.000E-002,0.690,0.250,0.000,electric_mels,293.392,567.464
,8,IECC_ADJ1,MISCPLUGLOAD,LIVING_UNIT1,220.82,3.0,340.847,1.544,113.616,6.244E-002,0.412,0.251,0.275,IECC_adj,176.226,340.847


Construction CTF

,,Construction Name,Index,#Layers,#CTFs,Time Step {hours},ThermalConductance {w/m2-K},OuterThermalAbsorptance,InnerThermalAbsorptance,OuterSolarAbsorptance,InnerSolarAbsorptance,Roughness
,1,EXTERIOR WALL,1,5,9,0.250,0.2829,0.900,0.900,0.700,0.700,MediumSmooth
,2,INTERIORFURNISHINGS,2,1,7,0.250,0.8000,0.900,0.900,0.700,0.700,MediumSmooth
,3,EXTERIOR FLOOR,4,3,8,0.250,0.1944,0.900,0.900,0.700,0.700,Rough
,4,INTERIOR FLOOR,5,2,3,0.250,1.702,0.900,0.900,0.700,0.700,Rough
,5,INTERIOR CEILING,6,2,9,0.250,0.1373,0.900,0.900,0.700,0.700,Rough
,6,ATTIC FLOOR,7,2,9,0.250,0.1373,0.900,0.900,0.700,0.700,MediumSmooth
,7,EXTERIOR ROOF,11,2,3,0.250,5.358,0.900,0.900,0.750,0.700,MediumRough
,8,EXTERIOR DOOR,14,1,5,0.250,1.704,0.900,0.900,0.700,0.700,Smooth
,9,GABLE_END,16,5,5,0.250,2.431,0.900,0.900,0.700,0.700,MediumSmooth
,10,CRAWL WALL,24,1,5,0.250,12.93,0.900,0.900,0.700,0.700,Rough
,11,iz-EXTERIOR FLOOR,25,3,8,0.250,0.1944,0.900,0.900,0.700,0.700,MediumSmooth


Material CTF Summary

,,Material Name,Thickness {m},Conductivity {w/m-K},Density {kg/m3},Specific Heat {J/kg-K},ThermalResistance {m2-K/w}
,1,SYN_STUCCO,0.0030,0.086,400.000,878.640,0.3524E-01
,2,SHEATHING_CONSOL_LAYER,0.0311,0.035,20.100,1465.415,0.8807
,3,OSB_7/16IN,0.0111,0.116,544.627,1213.360,0.9555E-01
,4,WALL_CONSOL_LAYER,0.1397,0.057,120.801,1036.258,2.444
,5,DRYWALL_1/2IN,0.0127,0.160,800.923,1087.840,0.7933E-01
,6,STD WOOD 6INCH,0.1500,0.120,540.000,1210.000,1.250
,7,FLOOR_CONSOL_LAYER,0.2349,0.052,55.074,916.931,4.558
,8,PLYWOOD_3/4IN,0.0191,0.115,544.680,674.540,0.1650
,9,CARPET_N_PAD,0.0254,0.060,32.037,836.800,0.4224
,10,PLYWOOD_3/4IN,0.0191,0.115,544.680,674.540,0.1650
,11,CARPET_N_PAD,0.0254,0.060,32.037,836.800,0.4224
,12,CEIL_CONSOL_LAYER,0.4445,0.062,41.929,776.251,7.202
,13,DRYWALL_1/2IN,0.0127,0.160,800.923,1087.840,0.7933E-01
,14,DRYWALL_1/2IN,0.0127,0.160,800.923,1087.840,0.7933E-01
,15,CEIL_CONSOL_LAYER,0.4445,0.062,41.929,776.251,7.202
,16,ASPHALT_SHINGLE,0.0063,0.082,1121.292,1255.200,0.7745E-01
,17,OSB_1/2IN,0.0127,0.116,544.627,1213.360,0.1092
,18,DOOR_CONST,0.0423,0.072,512.640,767.580,0.5870
,19,CEMENT_STUCCO,0.0191,0.721,1865.580,878.640,0.2642E-01
,20,BLDG_PAPER_FELT,0.0000,0.000,0.000,0.000,0.1057E-01
,21,OSB_5/8IN,0.0159,0.116,544.627,1213.360,0.1365
,22,DRYWALL_1/2IN,0.0127,0.160,800.923,1087.840,0.7933E-01
,23,CONCRETE_4IN,0.1015,1.312,2242.800,465.200,0.7736E-01
,24,CARPET_N_PAD,0.0254,0.060,32.037,836.800,0.4224
,25,PLYWOOD_3/4IN,0.0191,0.115,544.680,674.540,0.1650
,26,FLOOR_CONSOL_LAYER,0.2349,0.052,55.074,916.931,4.558


Material:Air

,,Material Name,ThermalResistance {m2-K/w}
,1,AIR_4_IN_VERT,0.1585
,2,3/4IN_AIR_SPACE,8.5130E-002
,3,3/4IN_REFLECTIVE_AIR_SPACE,0.2466
,4,AIR_4_IN_VERT,0.1585


CTF

,,Time,Outside,Cross,Inside,Flux (except final one)
,1,9,-0.22549215E-07,0.15068908E-13,-0.36636575E-07,0.15325053E-12
,2,8,0.59171433E-04,0.27732189E-10,0.87245177E-04,-0.17245386E-07
,3,7,-0.28958691E-02,0.32836698E-07,-0.76712678E-02,0.40343077E-04
,4,6,0.54592497E-01,0.38495894E-05,0.20687904,-0.19000017E-02
,5,5,-0.50723082,0.86755853E-04,-2.3929881,0.33748112E-01
,6,4,2.5226851,0.50110213E-03,13.368157,-0.28468677
,7,3,-6.9407176,0.79858665E-03,-38.323334,1.2085827
,8,2,10.504051,0.31741499E-03,57.504377,-2.5817303
,9,1,-8.1362281,0.20731142E-04,-42.892930,2.6198363
,10,0,2.5074132,0.34647197E-07,12.539151,
,11,7,-0.19879948E-01,0.18371110E-08,-0.19879948E-01,0.25920384E-02
,12,6,0.37833182,0.93111392E-06,0.37833182,-0.50805208E-01
,13,5,-2.8822885,0.33090332E-04,-2.8822885,0.40100636
,14,4,11.391948,0.23980383E-03,11.391948,-1.6521297
,15,3,-25.286828,0.46344169E-03,-25.286828,3.8446603
,16,2,31.657742,0.23933549E-03,31.657742,-5.0707043
,17,1,-20.807361,0.25331892E-04,-20.807361,3.5241279
,18,0,5.5693388,0.18852057E-06,5.5693388,
,19,8,0.11292583E-13,-0.26398813E-15,0.11985931E-05,-0.67447408E-14
,20,7,-0.85439151E-05,0.28851684E-09,-0.82249603E-03,0.50991153E-05
,21,6,0.45974652E-02,0.26381549E-06,0.24644549E-01,-0.27484575E-02
,22,5,-0.92553596E-01,0.17244112E-04,-0.29004968,0.57716900E-01
,23,4,0.68375190,0.19311761E-03,1.6873826,-0.45123090
,24,3,-2.3591322,0.50921706E-03,-5.1898145,1.6688658
,25,2,4.0802859,0.32476321E-03,8.4799474,-3.1197548
,26,1,-3.4243060,0.38009374E-04,-6.9053226,2.8415751
,27,0,1.1084479,0.23055280E-06,2.1951165,
,28,3,-0.21260425E-07,0.49822955E-08,-0.13883007E-07,0.11425730E-18
,29,2,0.11625382,0.10663279E-01,0.24913590E-01,-0.65967067E-07
,30,1,-5.6903370,0.76350664,-0.70509535,0.99684103E-01
,31,0,7.1067848,0.75853168,2.2128834,
,32,9,0.94289495E-18,-0.10172498E-14,-0.17911341E-10,0.81530589E-18
,33,8,0.38378845E-10,0.30676263E-14,0.18417648E-02,-0.33631976E-10
,34,7,-0.10199239E-02,0.11622689E-08,-0.12573539,0.89377533E-03
,35,6,0.24974826E-01,0.39399690E-06,1.7739088,-0.22311697E-01
,36,5,-0.23339123,0.12698862E-04,-11.178015,0.21420442
,37,4,1.0960123,0.88265231E-04,37.996902,-1.0412944
,38,3,-2.8187718,0.16480313E-03,-74.225957,2.7934287
,39,2,4.0007614,0.80846041E-04,83.168833,-4.1650798
,40,1,-2.9246709,0.77161481E-05,-49.586814,3.2175760
,41,0,0.85646011,0.41596276E-07,12.175391,
,42,9,-0.17911341E-10,-0.10172498E-14,0.94289495E-18,0.81530589E-18
,43,8,0.18417648E-02,0.30676263E-14,0.38378845E-10,-0.33631976E-10
,44,7,-0.12573539,0.11622689E-08,-0.10199239E-02,0.89377533E-03
,45,6,1.7739088,0.39399690E-06,0.24974826E-01,-0.22311697E-01
,46,5,-11.178015,0.12698862E-04,-0.23339123,0.21420442
,47,4,37.996902,0.88265231E-04,1.0960123,-1.0412944
,48,3,-74.225957,0.16480313E-03,-2.8187718,2.7934287
,49,2,83.168833,0.80846041E-04,4.0007614,-4.1650798
,50,1,-49.586814,0.77161481E-05,-2.9246709,3.2175760
,51,0,12.175391,0.41596276E-07,0.85646011,
,52,3,-0.29555724E-05,0.78471552E-06,-0.19777018E-05,0.68642314E-15
,53,2,0.15293305,0.50483289E-01,0.12822325,-0.22743170E-05
,54,1,-7.5337739,2.6090217,-5.6395048,0.62817353E-01
,55,0,12.401978,2.3616280,10.532417,
,56,5,-0.34649653E-09,0.18643338E-09,-0.34649653E-09,0.32321875E-12
,57,4,0.14881557E-04,0.76261782E-05,0.14881557E-04,-0.46873818E-07
,58,3,-0.16584958E-01,0.59200141E-02,-0.16584958E-01,0.22126914E-03
,59,2,0.93252021,0.20573514,0.93252021,-0.36145924E-01
,60,1,-5.5712332,0.56060628,-5.5712332,0.52233792
,61,0,5.5302193,0.10266710,5.5302193,
,62,5,-0.52254053E-08,0.11833494E-09,-0.19746461E-08,0.20376637E-17
,63,4,0.13198703E-02,0.28796027E-04,0.41856668E-03,-0.11610988E-08
,64,3,-0.25208402,0.19322245E-01,-0.85493636E-01,0.23906158E-03
,65,2,7.8533107,0.48110426,2.9016275,-0.20267960E-01
,66,1,-41.398393,0.98160798,-13.501343,0.36527180
,67,0,35.387695,0.10978549,12.276639,
,68,5,-0.73019097E-10,0.53192648E-10,-0.73019096E-10,0.12979689E-14
,69,4,0.16478447E-04,0.10527174E-04,0.16478447E-04,-0.17983135E-08
,70,3,-0.48018205E-01,0.22266783E-01,-0.48018205E-01,0.42925618E-04
,71,2,4.7043937,1.3616040,4.7043937,-0.18012379E-01
,72,1,-36.261332,5.1024706,-36.261332,0.42494548
,73,0,39.271125,1.1798337,39.271125,
,74,8,0.11985931E-05,-0.26398813E-15,0.11292583E-13,-0.67447408E-14
,75,7,-0.82249603E-03,0.28851684E-09,-0.85439151E-05,0.50991153E-05
,76,6,0.24644549E-01,0.26381549E-06,0.45974652E-02,-0.27484575E-02
,77,5,-0.29004968,0.17244112E-04,-0.92553596E-01,0.57716900E-01
,78,4,1.6873826,0.19311761E-03,0.68375190,-0.45123090
,79,3,-5.1898145,0.50921706E-03,-2.3591322,1.6688658
,80,2,8.4799474,0.32476321E-03,4.0802859,-3.1197548
,81,1,-6.9053226,0.38009374E-04,-3.4243060,2.8415751
,82,0,2.1951165,0.23055280E-06,1.1084479,


WindowConstruction

,,Construction Name,Index,#Layers,Roughness,Conductance {W/m2-K},SHGC,Solar Transmittance at Normal Incidence,Visible Transmittance at Normal Incidence
,1,EXTERIOR WINDOW,12,1,VerySmooth,1.704,0.335,0.248,0.883
,2,INTERIOR WINDOW,13,1,VerySmooth,1.704,0.335,0.248,0.883
,3,WINDOW_W_BLINDS,18,2,VerySmooth,1.704,0.309,4.646E-002,0.133
,4,TDD DOME,22,1,VerySmooth,6.082,0.929,0.920,0.920
,5,TDD DIFFUSER,23,1,VerySmooth,6.115,0.906,0.900,0.900


WindowMaterial:Glazing

,,Material Name,Optical Data Type,Spectral Data Set Name,Thickness {m},Solar Transmittance,Front Solar Reflectance,Back Solar Reflectance,Visible Transmittance,Front Visible Reflectance,Back Visible Reflectance,Infrared Transmittance,Front Thermal Emissivity,Back Thermal Emissivity,Conductivity {W/m-K},Dirt Factor,Solar Diffusing
,1,GLASS,SpectralAverage,,4.18405E-002,0.24698,0.55113,0.55113,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,0.10138,1.00000,No
,2,GLASS,SpectralAverage,,4.18405E-002,0.24698,0.55113,0.55113,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,0.10138,1.00000,No
,3,GLASS,SpectralAverage,,4.18405E-002,0.24698,0.55113,0.55113,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,0.10138,1.00000,No
,4,CLEAR ACRYLIC PLASTIC,SpectralAverage,,3.00000E-003,0.92000,5.00000E-002,5.00000E-002,0.92000,5.00000E-002,5.00000E-002,0.00000,0.90000,0.90000,0.90000,1.00000,No
,5,DIFFUSING ACRYLIC PLASTIC,SpectralAverage,,2.20000E-003,0.90000,8.00000E-002,8.00000E-002,0.90000,8.00000E-002,8.00000E-002,0.00000,0.90000,0.90000,0.90000,1.00000,No


WindowMaterial:Blind

,,Material Name,Slat Width {m},Slat Separation {m},Slat Thickness {m},Slat Angle {deg},Slat Beam Solar Transmittance,Slat Beam Solar Front Reflectance,Blind To Glass Distance {m}
,1,INT_BLIND,2.5000E-002,1.8750E-002,1.0000E-003,45.000,0.000,0.500,5.000E-002


Shadowing/Sun Position Calculations Annual Simulations

,,Shading Calculation Method,Shading Calculation Update Frequency Method,Shading Calculation Update Frequency {days},Maximum Figures in Shadow Overlap Calculations {},Polygon Clipping Algorithm,Pixel Counting Resolution,Sky Diffuse Modeling Algorithm,Output External Shading Calculation Results,Disable Self-Shading Within Shading Zone Groups,Disable Self-Shading From Shading Zone Groups to Other Zones
,1,PolygonClipping,Periodic,20,15000,SutherlandHodgman,512,SimpleSkyDiffuseModeling,No,No,No


Heat Pump Water Heater Information

,,Type,Name,Volume {m3},Maximum Capacity {W},Standard Rated Recovery Efficiency,Standard Rated Energy Factor,"DX Coil Total Cooling Rate {W,HPWH Only}"
,1,WaterHeater:HeatPump:WrappedCondenser,WATER HEATER_UNIT1,0.1968,1214.0,0.000,0.0000,785,


Water Heater Stratified Node Information

,,Node Number,Height {m},Volume {m3},Maximum Capacity {W},Off-Cycle UA {W/K},On-Cycle UA {W/K},Number Of Inlets,Number Of Outlets
,1,1,1.5940,0.1968,0.000,1.5403,1.5403,1,1


ZoneVentilation Airflow Stats Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Design Volume Flow Rate {m3/s},Volume Flow Rate/Floor Area {m3/s-m2},Volume Flow Rate/person Area {m3/s-person},ACH - Air Changes per Hour,Fan Type {Exhaust;Intake;Natural},Fan Pressure Rise {Pa},Fan Efficiency {},Equation A - Constant Term Coefficient {},Equation B - Temperature Term Coefficient {1/C},Equation C - Velocity Term Coefficient {s/m},Equation D - Velocity Squared Term Coefficient {s2/m2},Minimum Indoor Temperature{C}/Schedule,Maximum Indoor Temperature{C}/Schedule,Delta Temperature{C}/Schedule,Minimum Outdoor Temperature{C}/Schedule,Maximum Outdoor Temperature{C}/Schedule,Maximum WindSpeed{m/s}
,1,VENTILATION_UNIT1,ALWAYS_AVAIL,LIVING_UNIT1,220.82,3.0,0.000,0.000,0.000,0.000,Exhaust,0.000,0.6,1.000,0.000,0.000,0.000,-100.00,100.00,-100.00,-100.00,100.00,40.00


AirFlow Model

,,Simple
,1,Simple


RoomAir Model

,,Zone Name,Mixing/Mundt/UCSDDV/UCSDCV/UCSDUFI/UCSDUFE/User Defined
,1,LIVING_UNIT1,Mixing/Well-Stirred
,2,ATTIC_UNIT1,Mixing/Well-Stirred
,3,CRAWLSPACE_UNIT1,Mixing/Well-Stirred


AirflowNetwork Model:Control

,,No Multizone or Distribution/Multizone with Distribution/Multizone without Distribution/Multizone with Distribution only during Fan Operation
,1,MultizoneWithDistribution


AirflowNetwork Model:Equivalent Rectangle Surface

,,Name,Equivalent Height {m},Equivalent Width {m} AirflowNetwork Model:Equivalent Rectangle
,1,ROOF_RIGHT_UNIT1,1.36,4.55
,2,ROOF_LEFT_UNIT1,1.36,4.55


AirflowNetwork Model:Wind Direction

,,Wind Direction #1 to n (degree)
,1,0.0


AirflowNetwork Model:Wind Pressure Coefficients

,,Name,Wind Pressure Coefficients #1 to n (dimensionless)
,1,!WPCTABLE1,0.60
,2,!WPCTABLE2,-0.36
,3,!WPCTABLE3,-0.51
,4,!WPCTABLE4,-0.36
,5,!WPCTABLE5,-0.73


Zone Volume Capacitance Multiplier

,,Sensible Heat Capacity Multiplier,Moisture Capacity Multiplier,Carbon Dioxide Capacity Multiplier,Generic Contaminant Capacity Multiplier
,1,1.000,1.000,1.000,1.000


Load Timesteps in Zone Design Calculation Averaging Window

,,Value
,1,4


Heating Sizing Factor Information

,,Sizing Factor ID,Value
,1,Global,1.0000


Cooling Sizing Factor Information

,,Sizing Factor ID,Value
,1,Global,1.0000


Zone Sizing Information

,,Zone Name,Load Type,Calc Des Load {W},User Des Load {W},Calc Des Air Flow Rate {m3/s},User Des Air Flow Rate {m3/s},Design Day Name,Date/Time of Peak,Temperature at Peak {C},Humidity Ratio at Peak {kgWater/kgDryAir},Floor Area {m2},# Occupants,Calc Outdoor Air Flow Rate {m3/s},Calc DOAS Heat Addition Rate {W}
,1,LIVING_UNIT1,Cooling,4717.99224,4717.99224,0.40325,0.40325,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 17:30:00,31.08800,5.47095E-003,220.81784,3.00000,2.83168E-002,0.00000
,2,LIVING_UNIT1,Heating,5653.74162,5653.74162,0.19807,0.19807,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 14:00:00,-17.90000,9.55238E-004,220.81784,3.00000,2.83168E-002,0.00000


System Sizing Information

,,System Name,Load Type,Peak Load Kind,User Design Capacity,Calc Des Air Flow Rate [m3/s],User Des Air Flow Rate [m3/s],Design Day Name,Date/Time of Peak
,1,CENTRAL SYSTEM_UNIT1,Cooling,Sensible,4846.97,0.40325,0.40325,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,2,CENTRAL SYSTEM_UNIT1,Heating,Sensible,6639.46,0.19807,0.19807,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 14:00:00


Component Sizing Information

,,Component Type,Component Name,Input Field Description,Value
,1,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1,User-Specified Supply Air Flow Rate [m3/s],2.83168E-002
,2,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1,User-Specified Exhaust Air Flow Rate [m3/s],2.83168E-002
,3,Fan:OnOff,OASUPPLYFAN_UNIT1,User-Specified Maximum Flow Rate [m3/s],2.83168E-002
,4,Fan:OnOff,OAEXHAUSTFAN_UNIT1,User-Specified Maximum Flow Rate [m3/s],2.83168E-002
,5,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT1,User-Specified Nominal Supply Air Flow Rate [m3/s],2.83168E-002
,6,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT1,Design Size Maximum Air Flow Rate [m3/s],0.40325
,7,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Sum of Air Terminal Maximum Heating Flow Rates [m3/s],0.40325
,8,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Sum of Air Terminal Minimum Heating Flow Rates [m3/s],0.40325
,9,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Sum of Air Terminal Maximum Flow Rates [m3/s],0.40325
